Movie Name,Genre,Ratings,Voting Counts,Duration
Intoxicated by Love,Romance,8.5,12K,118
Private Tutor,Romance,4.9,182,65
"Hello, Love, Again",Romance,6.8,790,122
Eks,Romance,4.5,183,121
Karma's a Bitch,Romance,5.0,31,89
Daniela Forever,Romance,6.3,199,113
Futra Days,Romance,4.1,138,99
From Contract Lover to the Billionaire's Bride,Romance,7.1,491,84
Passport to Love,Romance,6.2,393,88
Undergrads,Romance,5.6,41,66
Stag,Romance,5.1,109,87
The Holiday Junkie,Romance,6.3,440,88
The Groomsmen: Second Chances,Romance,6.1,424,84
Why Do You?,Romance,5.4,398,103
Duino,Romance,8.3,99,108
Rasavathi,Romance,6.4,553,148
She Taught Love,Romance,5.2,401,102
Gharjwai,Romance,8.7,807,134
Sicilian Holiday,Romance,4.9,12,102
Pure Love,Romance,9.1,94,109
A Circus Tale & a Love Song,Romance,5.9,102,114
The Architecture of Love,Romance,6.9,474,110
Meet Me in Rome,Romance,5.1,477,85
Else,Romance,6.1,223,100
Snatched a Billionaire to Be My Husband,Romance,7.6,649,70
C4 Cinta,Romance,8.6,117,167
The Holiday Exchange,Romance,5.6,400,90
Blue Sun Palace,Romance,6.5,115,116
O Melhor Amigo,Romance,7.5,27,96
Christmas in the Spotlight,Romance,5.8,659,87
Hear Me: Our Summer,Romance,7.5,610,109
Albany Road,Romance,7.7,107,135
Wanted: Girlfriend,Romance,4.1,216,49
0000 Kilometre,Romance,2.9,121,110
The Glory of Life,Romance,6.6,420,98
Love Switch,Romance,6.0,223,89
A Toast to Love,Romance,6.1,108,89
Swoon,Romance,6.0,13,83
Dandelion,Romance,5.3,386,113
Shigatsu ni nareba kanojo wa,Romance,6.2,417,108
Sex Love Venice,Romance,4.4,308,102
Addition,Romance,8.2,29,91
The Swedish Torpedo,Romance,6.4,133,120
The Time of Fever,Romance,8.0,621,101
Viva La Vida,Romance,7.6,789,130
Beauty and the Billionaire: Bali,Romance,5.9,190,91
Boys on Film 24: Happy Endings,Romance,6.9,26,174
Writing a Love Song,Romance,6.7,174,85
Kupu-Kupu Kertas,Romance,7.0,113,113
Perfect Match,Romance,6.6,333,101
First Taste,Romance,4.5,150,97
Every You Every Me,Romance,6.6,134,108
Ahl Al Kahf,Romance,5.2,237,120
Seven Seas Seven Hills,Romance,8.6,85,90
Los pequeños amores,Romance,6.3,345,95
Ek Anjaan Rishtey Ka Guilt 3,Romance,8.0,67,104
Krista,Romance,5.6,44,58
"Aire, Just Breathe",Romance,4.7,185,98
Dilan 1983,Romance,6.7,203,116
El Hawa Sultan,Romance,6.6,624,136
Meeting Ms. Leigh,Romance,9.2,76,117
Love Syndrome: The Beginning,Romance,6.0,49,90
Love Li,Romance,6.5,13K,168
Black Tea,Romance,5.2,530,110
The Great Gujarati Matrimony,Romance,7.9,78,144
Looking for Dr. Love,Romance,6.0,122,85
A Merry Royal Christmas,Romance,5.2,141,88
Dhruvathaare,Romance,8.3,646,165
What Happened in My Black Boyfriend's Room,Romance,4.8,8,62
Love Story,Romance,4.9,387,125
Three Secrets,Romance,4.4,47,92
Under Parallel Skies,Romance,5.6,779,110
Christmas at Plumhill Manor,Romance,6.1,496,87
Sweet Summer Love,Romance,6.5,59,90
Vaagai,Romance,8.8,185,119
Rose Rosy Te Gulab,Romance,5.8,295,135
Addy Daddy,Romance,7.8,25,118
Explosions in My Heart,Romance,6.7,33,105
Kisko Tha Pata,Romance,7.4,14,135
Rokjesnacht,Romance,4.9,217,95
Life is Filled with So Much of You,Romance,8.1,14,99
Across the Sea,Romance,6.4,64,112
Sihinayaki Adare,Romance,6.5,183,150
Maple Leaf Dreams,Romance,4.6,76,101
Mor Chhainha Bhuinya 2,Romance,8.3,60,160
Moments We Shared,Romance,5.5,119,131
I Am the Secret in Your Heart,Romance,6.0,178,112
Emakku Thozhil Romance,Romance,4.9,117,111
Funmilayo Ransome-Kuti,Romance,8.5,93,91
Christmas on the Ranch,Romance,6.1,136,86
Last Song for You,Romance,7.3,89,110
Ondu Sarala Prema Kathe,Romance,7.5,711,149
Love Stuck,Romance,5.6,151,116
Shooting My Life's Script,Romance,6.2,332,95
Khwaabon Ka Jhamela,Romance,6.1,105,113
A Bluegrass Christmas,Romance,6.0,227,84
To potami,Romance,6.6,13,93
"Chances Are, You and I",Romance,6.1,104,132
Holiday for Hire,Romance,5.8,187,84
Visal Adare,Romance,5.9,138,120
Love Is Never on Time,Romance,8.9,57,110
Heartbreak Motel,Romance,7.0,287,115
Eating Me Up,Romance,8.6,289,104
Kajolrekha,Romance,6.3,170,156
Éden & Charlie,Romance,8.3,8,45
This Is Not A Love Song,Romance,7.1,26,72
Letters at Christmas,Romance,3.7,168,84
Hold Me Close,Romance,6.6,9,98
Lyod 3,Romance,6.0,294,134
Silent Love,Romance,6.3,337,116
Lady Outlaw,Romance,6.8,16,104
Kagojer Bou,Romance,6.0,24,112
Lyubov Sovetskogo Soyuza,Romance,5.1,245,150
Valentine's Town,Romance,5.3,183,84
"Dao, Pho Va Piano",Romance,5.9,189,100
Nikdo me nemá rád,Romance,5.8,37,84
Svemu dodje kraj,Romance,6.7,251,89
Ye xiao nü sheng,Romance,7.4,27,110
Jee Ve Sohneya Jee,Romance,6.7,260,141
Once Upon a Honeymoon,Romance,6.8,21,109
Because I Love Bad Weather,Romance,6.2,130,100
36-24-36,Romance,6.1,204,118
Love Me If You Dare,Romance,4.3,470,128
A Christmas of Wonders,Romance,4.8,120,86
Morena,Romance,7.8,62,106
Keshava Chandra Ramavath,Romance,6.7,77,133
Günesi Söndürmem Gerek,Romance,3.5,178,105
Chanchal Haseena,Romance,7.2,34,98
Allahr Vres,Romance,8.6,16,135
Gili Gili Raat,Romance,5.7,12,93
Der Junge dem die Welt gehört,Romance,7.9,76,96
Pantaskah Aku Berhijab,Romance,8.1,16,114
Kuch Sapney Apne,Romance,8.0,47,120
Tendaberry,Romance,6.8,35,115
Hearts Creek,Romance,5.8,114,90
The Little Things,Romance,7.7,39,90
Heart Strings,Romance,6.4,9,107
Jingle Bell Love,Romance,6.1,213,81
"Sampai Nanti, Hanna!",Romance,7.3,261,110
Raseeli Raatein,Romance,6.4,11,91
Hong lou meng,Romance,3.3,19,120
Ibbani Tabbida Ileyali,Romance,7.4,831,160
Umjolo: Day Ones,Romance,4.0,149,86
40,Romance,4.8,18,103
Kaaduvetty,Romance,3.2,145,157
Seré breve al momento de morir,Romance,5.7,14,78
X & Y,Romance,7.3,11,101
Ibiza Dark,Romance,8.3,15,95
Dinda,Romance,7.0,37,94
A Heart for Christmas,Romance,7.5,99,91
Ask Mevsimi,Romance,4.9,323,126
Dukkhito,Romance,7.4,69,29
La piel en primavera,Romance,6.9,49,100
Assisting Venus,Romance,6.2,27,100
8 Views of Lake Biwa,Romance,5.5,102,126
Tauba Tera Jalwa,Romance,6.2,15,130
Maru Mann Taru Thayu,Romance,7.5,21,153
Azzamine,Romance,8.4,99,104
Buzzy Noise,Romance,6.0,49,119
Ai zuo dai,Romance,6.2,36,78
We Are Faheem & Karun,Romance,9.4,47,81
The Christmas Brew,Romance,5.4,151,89
Khoka Bhai Tama Pain: A Song Epic,Romance,8.9,154,153
The Mediterranean Sea,Romance,7.2,69,108
Hi Anokhi Gaath,Romance,6.7,79,126
L'invenzione di noi due,Romance,4.6,35,106
Cedric & Alysia,Romance,5.1,51,84
Tilottoma,Romance,8.4,22,98
A Mountain Between Us,Romance,5.3,34,89
Haunted Happy Hour,Romance,7.9,13,89
Wrooklyn Zoo,Romance,5.4,141,129
Timing,Romance,7.8,59,138
Sihina Nelum Mal,Romance,8.0,29,105
Ancika,Romance,6.8,771,100
Forbidden Love,Romance,7.1,27,96
#OOTD: Outfit of the Designer,Romance,5.6,42,107
Benaam Rishta,Romance,6.5,9,90
Apsara,Romance,7.2,30,150
Rabb Da Radio 3,Romance,6.8,6,122
How to Make Love,Romance,2.8,11,65
Shesh Rokkha,Romance,5.0,17,109
Maaya Ka Moh,Romance,3.7,17,90
Maunam,Romance,8.5,44,106
Surjo,Romance,7.8,14,155
Ienai Himitsu,Romance,6.9,59,115
Once Upon A Love Story,Romance,7.6,76,135
Heavens x Candy,Romance,5.9,38,70
Forget Me Not,Romance,6.5,140,89
The Mercedes Story: A Troubled Soul,Romance,7.6,20,128
Yesterday Is Almost Here,Romance,8.1,9,92
Bad Boy in Love,Romance,9.2,11,91
Cinta Dari Timor,Romance,5.3,22,82
Keo=peul-ji-ok,Romance,5.3,6,94
Love at First Lie,Romance,4.1,34,107
Zorawar Di Jacqueline,Romance,5.4,1K,147
Zehan,Romance,4.9,25,113
ON i Ona,Romance,6.6,9,90
Video Vision,Romance,5.9,20,78
Buk Poketer Golpo,Romance,7.9,207,95
Reversi,Romance,8.4,99,135
Pher Mamlaa Gadbad Hai,Romance,5.2,31,126
Abhi,Romance,7.9,42,135
Lázaro de noche,Romance,5.2,28,76
Jaunt,Romance,8.4,7,78
Muzhchina i zhenshchina,Romance,7.7,12,116
Booking,Romance,7.6,63,29
Angithee 3,Romance,8.1,61,99
Bedtime Stories: Tales of Love and Hate,Romance,7.7,15,65
Love Mocktail 2,Romance,8.8,3K,140
Love Love,Romance,9.0,7,61
Smart Casuals,Romance,5.3,41,96
Juni,Romance,7.3,216,138
Love Mouli,Romance,6.5,81,146
"Sampai Jumpa, Selamat Tinggal",Romance,6.6,5,109
Romeo Ingkar Janji,Romance,7.3,16,113
Roman Peony,Romance,8.0,8,132
Kailasa Kasidre,Romance,5.9,1K,124
Ninaivellam Neeyada,Romance,5.2,32,155
Fujimi Lovers,Romance,6.0,45,103
I Love You 2,Romance,8.1,172,160
Colegio Girassol,Romance,7.9,14,60
Unarvugal Thodarkadhai,Romance,6.4,53,111
Paalum Pazhavum,Romance,4.9,173,147
Majnoo,Romance,9.6,61,123
Chetyre chetverti,Romance,8.7,7,152
Deyaler Desh,Romance,6.8,127,139
On+Ona,Romance,7.5,14,93
Labyrinth,Romance,4.5,14,100
Vremya est!,Romance,6.0,10,74
ONENESS,Romance,8.9,12,115
Bigayan,Romance,6.1,44,43
Happiness,Romance,5.5,13,118
I Hate You,Romance,7.9,2K,117
The Gift That Gives,Romance,6.2,57,81
Your 1/2 of the Rent,Romance,8.5,16,105
Katlaa Curry,Romance,9.4,25,110
Wo xiang han ni zai yi qi,Romance,5.4,17,100
Maya: The Love,Romance,6.5,13,139
I 20,Romance,9.1,493,114
Ini Oru Kadhal Seivom,Romance,5.7,23,109
Ona tantsuet,Romance,8.8,9,85
Oshana,Romance,5.8,791,149
Palasher Biye,Romance,6.7,42,99
Dil Kush,Romance,8.5,545,135
The Perfect Him,Romance,5.2,19,90
Me and My Victim,Romance,2.3,8,100
Suchana,Romance,9.1,527,90
If My Lover Were a Flower,Romance,8.5,8,110
Lucky Heart,Romance,4.4,8,90
Dua Surga Dalam Cintaku,Romance,7.8,6,111
The Claddagh,Romance,7.4,8,88
Vy menya videli?,Romance,4.9,50,80
Gaiyan,Romance,6.1,16,35
Mehabooba,Romance,7.0,247,147
Yurka,Romance,4.1,27,85
Lukochuri,Romance,7.0,11,127
The Legend of the Cat Demon,Romance,4.8,12,85
Chu Lay Aasman,Romance,9.0,11,120
Killer Baby Daddy,Romance,3.9,14,78
The First Lecture,Romance,9.0,11,55
Berta y Pablo,Romance,7.4,7,61
Tokhon Jokhon,Romance,7.6,12,63
Bewafa Darling,Romance,8.6,14,56
Colour Palette,Romance,9.0,23,87
Extra,Romance,7.0,12,28
Hu Tara Vina Kai Nai,Romance,9.4,15,125
Lucid Love,Romance,8.6,29,71
A Lovely Résumé,Romance,9.3,7,70
Osompurno,Romance,9.6,13,59
Black Owner and Horny College Girls,Romance,3.9,7,65
